2016.12.22 17:53:52	8of20 :		2	3	5	6	9	10	12	20		1of4 :	3		
2017.07.22 03:00:57	8of20 :		2	3	9	12	15	16	17	20		1of4 :	3		dfghdfgh
2017.07.22 03:01:11	8of20 :		1	3	10	13	15	16	19	20		1of4 :	1		dfghdfghdgfhfgh
2019.12.22 20:10:58	8of20 :		3	4	5	9	13	18	19	20		1of4 :	1		
2019.12.22 20:12:06	8of20 :		3	4	5	10	13	16	18	20		1of4 :	3		
2019.12.22 20:12:07	8of20 :		1	4	5	12	14	16	18	19		1of4 :	3		
2019.12.22 20:12:07	8of20 :		1	4	5	12	14	16	18	19		1of4 :	3		
2019.12.22 20:12:07	8of20 :		1	4	5	12	14	16	18	19		1of4 :	3		
2019.12.22 20:12:07	8of20 :		1	4	5	12	14	16	18	19		1of4 :	3		
2019.12.22 20:12:10	8of20 :		1	4	5	12	14	16	18	19		1of4 :	3		
2019.12.22 20:12:12	8of20 :		1	4	5	12	14	16	18	19		1of4 :	3		
2019.12.22 20:12:13	8of20 :		1	4	5	12	14	16	18	19		1of4 :	3		
2019.12.22 20:12:13	8of20 :		1	4	5	12	14	16	18	19		1of4 :	3		
