2016.12.22 17:54:06	5of36 :		3	11	12	19	28		1of4 :	1	
	5of36 :			1of4 :		
2019.12.22 20:11:03	5of36 :		6	9	14	17	22		1of4 :	2	
2019.12.22 20:11:03	5of36 :		6	9	14	17	22		1of4 :	2	
2019.12.22 20:11:03	5of36 :		6	9	14	17	22		1of4 :	2	
2019.12.22 20:11:03	5of36 :		6	9	14	17	22		1of4 :	2	
2019.12.22 20:11:03	5of36 :		6	9	14	17	22		1of4 :	2	
2019.12.22 20:11:03	5of36 :		6	9	14	17	22		1of4 :	12	
2019.12.22 20:11:08	5of36 :		3	14	26	30	35		1of4 :	2	
2019.12.22 20:11:08	5of36 :		3	14	26	30	35		1of4 :	2	
2019.12.22 20:11:08	5of36 :		3	14	26	30	35		1of4 :	2	
2019.12.22 20:11:10	5of36 :		1	28	34	35	36		1of4 :	4	
2019.12.22 20:11:11	5of36 :		4	7	8	11	20		1of4 :	4	
2019.12.22 20:11:11	5of36 :		4	7	8	11	20		1of4 :	4	
2019.12.22 20:11:13	5of36 :		4	10	15	17	23		1of4 :	2	
2019.12.22 20:11:13	5of36 :		4	10	15	17	23		1of4 :	2	
2019.12.22 20:11:14	5of36 :		1	2	13	15	22		1of4 :	1	
2019.12.22 20:11:15	5of36 :		5	9	14	17	23		1of4 :	1	
2019.12.22 20:11:16	5of36 :		15	17	20	24	34		1of4 :	4	
2019.12.22 20:11:16	5of36 :		15	17	20	24	34		1of4 :	4	
2019.12.22 20:11:16	5of36 :		15	17	20	24	34		1of4 :	4	
2019.12.22 20:11:16	5of36 :		15	17	20	24	34		1of4 :	4	
2019.12.22 20:11:17	5of36 :		18	23	24	32	34		1of4 :	3	
2019.12.22 20:11:17	5of36 :		18	23	24	32	34		1of4 :	3	
2019.12.22 20:11:18	5of36 :		3	17	27	31	32		1of4 :	3	
2019.12.22 20:11:18	5of36 :		3	17	27	31	32		1of4 :	3	
2019.12.22 20:11:18	5of36 :		3	17	27	31	32		1of4 :	3	
2019.12.22 20:11:20	5of36 :		4	10	18	33	36		1of4 :	1	
2019.12.22 20:11:20	5of36 :		4	10	18	33	36		1of4 :	1	
2019.12.22 20:11:20	5of36 :		4	10	18	33	36		1of4 :	1	
2019.12.22 20:11:20	5of36 :		4	10	18	33	36		1of4 :	1	
2019.12.22 20:11:22	5of36 :		3	4	5	13	32		1of4 :	4	
2019.12.22 20:11:24	5of36 :		4	10	19	21	29		1of4 :	2	
